Keys,Values
q1,"Suman Bera, Sanjib Shyamal"
q2,"Suman Bera and Sanjib Shyamal are affiliated with the School of Materials Sciences, Indian Association for the Cultivation of Science, Kolkata 700032, India."
q3,American Chemical Society
q4,Journal of the American Chemical Society
q5,None
q6,'Research article'
q7,'2021'
q8,"Yes, the Supporting Information is available free of charge at https://pubs.acs.org/doi/10.1021/jacs.1c07231."
q9,CsPbBr3
q10,Yes.
q11,"Excitation wavelength: 402 nm
Emission wavelength: 518 nm"
q12,"1. Transmission Electron Microscopy (TEM)
2. High-Resolution TEM (HRTEM)
3. Energy-dispersive spectroscopy (EDS)
4. Powder X-ray Diffraction Measurement (XRD)
5. 1H Nuclear Magnetic Resonance Spectroscopy (1HNMR)
6. Gas Chromatography (GC)
7. UVâˆ’vis Spectroscopy
8. Photoluminescence (PL) Spectroscopy
9. Photoluminescence Quantum Yields (PLQY)
10. Time Correlated Single Photon Counting (TCSPC) Spectra
11. Photoelectrochemical (PEC) Measurement"
q13,"1. Lead(II) oxide (PbO, 99.999%)
2. Cadmium oxide (CdO, 99.5%)
3. Cesium carbonate (Cs2CO3, reagent Plus, 99%)"
q14,None
q15,CsPbBr3 nanorods
q16,'Photocatalytic CO2 Reduction'
q17,'5 mg'
q18,'450 W'
q19,A 450 W Xe arc lamp with a calibrated intensity of 150 mW/cm^2 served as the light source during the photocatalytic measurements.
q20,'150 mW/cm^2'
